ID,Name,Type1,Type2,HP,Attack,Defense,SpecialAttack,SpecialDefense,Speed,Ability1,Ability2,CatchRate,GenderRatio,EggGroup1,EggGroup2,BaseExperience,BaseFriendship,GrowthRate,EXPGroup
197,HYPNO,14,14,85,73,70,73,115,67,INSOMNIA,-------,75,50% Male & 50% Female,Human-Like,Human-Like,165,70,Medium Fast,
198,LULLOO,14,14,90,75,75,100,130,70,INSOMNIA,-------,75,50% Male & 50% Female,Human-Like,Human-Like,188,70,Medium Fast,
199,SOMNISOOTH,14,14,110,80,85,115,140,75,INSOMNIA,-------,75,50% Male & 50% Female,Human-Like,Human-Like,206,70,Medium Fast,
200,KRABBY,11,11,30,105,90,25,25,50,HYPER CUTTER,SHELL ARMOR,225,50% Male & 50% Female,Water3,Water3,115,70,Medium Fast,
201,KINGLER,11,11,55,130,115,50,50,75,HYPER CUTTER,SHELL ARMOR,60,50% Male & 50% Female,Water3,Water3,206,70,Medium Fast,
202,KRAKLAW,11,11,65,140,120,70,55,80,HYPER CUTTER,SHELL ARMOR,60,50% Male & 50% Female,Water3,Water3,217,70,Medium Fast,
203,TEKLAWNO,11,10,80,140,120,135,75,80,HYPER CUTTER,SHELL ARMOR,60,50% Male & 50% Female,Water3,Water3,230,70,Medium Fast,
204,VOLTORB,13,13,40,30,50,55,55,100,SOUNDPROOF,STATIC,190,Genderless,Mineral,Mineral,103,70,Medium Fast,
205,ELECTRODE,13,13,60,50,70,80,80,140,SOUNDPROOF,STATIC,60,Genderless,Mineral,Mineral,150,70,Medium Fast,
206,ELECTRODES,13,13,75,50,75,90,90,155,SOUNDPROOF,STATIC,60,Genderless,Mineral,Mineral,177,70,Medium Fast,
207,ELECTRODEX,13,13,80,55,75,100,105,165,SOUNDPROOF,STATIC,60,Genderless,Mineral,Mineral,199,70,Medium Fast,
208,ELECTRODEM,13,14,90,55,80,115,105,200,SOUNDPROOF,STATIC,60,Genderless,Mineral,Mineral,211,70,Medium Fast,
209,EXEGGCUTE,12,14,60,40,80,60,45,40,CHLOROPHYLL,-------,90,50% Male & 50% Female,Grass,Grass,98,70,Medium Slow,
210,EXEGGUTOR,12,14,95,95,85,125,65,55,CHLOROPHYLL,-------,45,50% Male & 50% Female,Grass,Grass,212,70,Medium Slow,
211,EXEGGITY,12,14,100,95,90,125,90,55,CHLOROPHYLL,-------,45,50% Male & 50% Female,Grass,Grass,225,70,Medium Slow,
212,EXEGGTRIC,12,14,110,95,95,130,130,60,CHLOROPHYLL,-------,45,50% Male & 50% Female,Grass,Grass,235,70,Medium Slow,
213,CUBONE,4,4,50,50,95,40,50,35,ROCK HEAD,LIGHTNINGROD,190,50% Male & 50% Female,Monster,Monster,87,70,Medium Fast,
214,MAROWAK,4,4,60,80,110,50,80,45,ROCK HEAD,LIGHTNINGROD,75,50% Male & 50% Female,Monster,Monster,124,70,Medium Fast,
215,OSSELOBBER,4,4,80,100,110,55,85,50,ROCK HEAD,LIGHTNINGROD,75,75% Male,Monster,Monster,160,70,Medium Fast,
216,WRAIWRATH,4,7,75,125,100,90,125,65,CURSED BODY,LIGHTNINGROD,75,75% Female,Monster,Monster,199,70,Medium Fast,
217,HITMONLEE,1,1,50,105,53,35,100,87,LIMBER,-------,45,100% Male,Human-Like,Human-Like,139,70,Medium Fast,
218,CLEEVOYANT,1,14,60,110,60,110,100,90,OWN TEMPO,-------,45,100% Male,Human-Like,Human-Like,170,70,Medium Fast,
219,SPIRITULEE,1,14,90,135,60,135,110,100,MOXIE,-------,45,100% Male,Human-Like,Human-Like,200,70,Medium Fast,
220,HITMONCHAN,1,1,50,100,74,35,105,66,KEEN EYE,-------,45,100% Male,Human-Like,Human-Like,140,70,Medium Fast,
221,ENCHANCED,1,7,65,115,84,60,128,78,IRON FIST,-------,45,100% Male,Human-Like,Human-Like,172,70,Medium Fast,
222,RADIACHAN,1,7,101,125,94,85,140,85,MAGIC BOUNCE,-------,45,100% Male,Human-Like,Human-Like,205,70,Medium Fast,
223,LICKITUNG,0,0,90,55,75,60,75,30,OWN TEMPO,OBLIVIOUS,45,50% Male & 50% Female,Monster,Monster,127,70,Medium Fast,
224,LICKILICKY,0,0,110,85,95,80,95,50,OWN TEMPO,OBLIVIOUS,45,50% Male & 50% Female,Monster,Monster,160,70,Medium Fast,
225,LICKILOLLY,0,15,115,90,120,95,100,55,SNOW WARNING,OBLIVIOUS,45,50% Male & 50% Female,Monster,Monster,198,70,Medium Fast,
226,LICKILATO,0,15,135,100,145,110,105,50,SNOW WARNING,OBLIVIOUS,45,50% Male & 50% Female,Monster,Monster,212,70,Medium Fast,
227,KOFFING,3,3,40,65,95,60,45,35,LEVITATE,-------,190,50% Male & 50% Female,Amorphous,Amorphous,114,70,Medium Fast,
228,WEEZING,3,3,65,90,120,85,70,60,LEVITATE,-------,60,50% Male & 50% Female,Amorphous,Amorphous,173,70,Medium Fast,
229,HEEVING,3,3,90,130,130,90,90,65,LEVITATE,-------,60,50% Male & 50% Female,Amorphous,Amorphous,199,70,Medium Fast,
230,CHOHKING,3,3,130,255,80,90,80,65,LEVITATE,-------,60,50% Male & 50% Female,Amorphous,Amorphous,213,70,Medium Fast,
231,RHYHORN,4,5,70,75,85,30,30,25,LIGHTNINGROD,ROCK HEAD,120,50% Male & 50% Female,Monster,Field,135,70,Medium Slow,
232,RHYDON,4,5,95,120,100,45,45,40,LIGHTNINGROD,ROCK HEAD,60,50% Male & 50% Female,Monster,Field,204,70,Medium Slow,
233,RHYPERIOR,4,5,115,140,130,55,55,40,LIGHTNINGROD,ROCK HEAD,60,50% Male & 50% Female,Monster,Field,215,70,Medium Slow,
234,RHYMARKABL,4,5,120,160,145,60,60,40,LIGHTNINGROD,ROCK HEAD,60,50% Male & 50% Female,Monster,Field,225,70,Medium Slow,
235,RHYLIC,4,7,60,60,225,60,225,5,CURSED BODY,SHADOW TAG,60,50% Male & 50% Female,Monster,Field,240,70,Medium Slow,
236,RHYBORN,4,8,125,175,150,60,85,50,LIGHTNINGROD,ROCK HEAD,60,50% Male & 50% Female,Monster,Field,255,70,Medium Slow,
237,CHANSEY,0,0,185,5,5,35,105,50,NATURAL CURE,SERENE GRACE,30,100% Female,Fairy,Fairy,255,140,Fast,
238,BLISSEY,0,0,255,10,10,75,135,55,NATURAL CURE,SERENE GRACE,30,100% Female,Fairy,Fairy,255,140,Fast,
239,GOGETTEY,0,0,255,10,15,85,145,65,NATURAL CURE,SERENE GRACE,30,100% Female,Fairy,Fairy,255,140,Fast,
240,LUKKEY,0,0,255,5,35,85,150,70,NATURAL CURE,SERENE GRACE,30,100% Female,Fairy,Fairy,255,140,Fast,
241,FORTUNITEY,0,16,185,75,45,125,160,80,NATURAL CURE,SERENE GRACE,30,100% Female,Fairy,Fairy,255,140,Fast,
242,TANGELA,12,12,65,55,85,50,40,60,CHLOROPHYLL,-------,45,50% Male & 50% Female,Grass,Grass,166,70,Medium Fast,
243,TANGROWTH,12,12,100,100,125,110,40,50,CHLOROPHYLL,-------,45,50% Male & 50% Female,Grass,Grass,185,70,Medium Fast,
244,TANGATHER,12,12,115,110,130,110,55,55,CHLOROPHYLL,-------,45,50% Male & 50% Female,Grass,Grass,210,70,Medium Fast,
245,TANGOLIATH,12,1,120,120,140,115,55,65,IRON FIST,-------,45,50% Male & 50% Female,Grass,Grass,220,70,Medium Fast,
246,TANGRAPPLE,12,1,130,130,125,125,60,80,IRON FIST,-------,45,50% Male & 50% Female,Grass,Grass,230,70,Medium Fast,
247,KANGAKID,0,0,60,45,40,20,40,45,RUN AWAY,-------,45,100% Female,Monster,Monster,55,70,Medium Fast,
248,KANGASKHAN,0,0,105,95,80,40,80,90,EARLY BIRD,-------,45,100% Female,Monster,Monster,160,70,Medium Fast,
249,KANGALLOUS,0,1,110,108,100,45,90,90,INTIMIDATE,-------,45,100% Male,Monster,Monster,192,70,Medium Fast,
250,KANGARUTAL,17,1,115,155,125,60,100,90,INTIMIDATE,-------,45,100% Male,Monster,Monster,215,70,Medium Fast,
251,HORSEA,11,11,30,40,70,70,25,60,SWIFT SWIM,-------,225,50% Male & 50% Female,Water1,Dragon,83,70,Medium Fast,
252,SEADRA,11,11,55,65,95,95,45,85,POISON POINT,-------,75,50% Male & 50% Female,Water1,Dragon,155,70,Medium Fast,
253,KINGDRA,11,16,75,95,95,95,95,85,SWIFT SWIM,-------,45,50% Male & 50% Female,Water1,Dragon,207,70,Medium Fast,
254,LORDRA,11,16,90,105,100,100,100,95,SWIFT SWIM,-------,45,50% Male & 50% Female,Water1,Dragon,218,70,Medium Fast,
255,PINNADRA,11,16,105,125,100,135,100,105,MARVEL SCALE,-------,45,50% Male & 50% Female,Water1,Dragon,227,70,Medium Fast,
256,GOLDEEN,11,11,45,67,60,35,50,63,SWIFT SWIM,WATER VEIL,225,50% Male & 50% Female,Water2,Water2,111,70,Medium Fast,
257,SEAKING,11,11,80,92,65,65,80,68,SWIFT SWIM,WATER VEIL,60,50% Male & 50% Female,Water2,Water2,170,70,Medium Fast,
258,SEAREX,11,11,95,105,75,75,95,75,SWIFT SWIM,WATER VEIL,60,50% Male & 50% Female,Water2,Water2,191,70,Medium Fast,
259,CAPRISEA,11,17,110,120,90,90,105,80,SWIFT SWIM,WATER VEIL,60,50% Male & 50% Female,Water2,Water2,208,70,Medium Fast,
260,STARYU,11,11,30,45,55,70,55,85,ILLUMINATE,NATURAL CURE,225,Genderless,Water3,Water3,106,70,Medium Slow,
261,STARMIE,11,14,60,75,85,100,85,115,ILLUMINATE,NATURAL CURE,60,Genderless,Water3,Water3,207,70,Medium Slow,
262,STARUS,11,14,70,80,95,110,100,130,ILLUMINATE,NATURAL CURE,60,Genderless,Water3,Water3,215,70,Medium Slow,
263,STARWE,11,14,80,80,95,130,130,140,SERENE GRACE,NATURAL CURE,60,Genderless,Water3,Water3,222,70,Medium Slow,
264,MR. MIME,14,14,40,40,55,95,115,80,SOUNDPROOF,-------,45,50% Male & 50% Female,Human-Like,Human-Like,136,70,Medium Fast,
265,MR. JEST,14,14,65,20,70,115,125,80,SOUNDPROOF,-------,45,50% Male & 50% Female,Human-Like,Human-Like,163,70,Medium Fast,
266,MR. FOOL,14,14,130,30,100,115,140,70,OWN TEMPO,-------,45,50% Male & 50% Female,Human-Like,Human-Like,195,70,Medium Fast,
267,SCYTHER,6,2,50,95,60,55,60,95,SWARM,-------,45,50% Male & 50% Female,Bug,Bug,187,70,Medium Fast,
268,SCIZOR,6,8,70,130,100,55,80,65,SWARM,-------,25,50% Male & 50% Female,Bug,Bug,200,70,Medium Fast,
269,RAZER,6,8,75,140,110,60,85,80,PRESSURE,-------,25,50% Male & 50% Female,Bug,Bug,213,70,Medium Fast,
270,CLAYMOR,6,8,80,150,120,60,95,100,PRESSURE,-------,25,50% Male & 50% Female,Bug,Bug,226,70,Medium Fast,
271,JYNX,15,14,65,50,35,115,95,75,OBLIVIOUS,-------,45,100% Female,Human-Like,Human-Like,137,70,Medium Fast,
272,JYNKIES,15,14,70,50,45,120,120,80,SNOW CLOAK,-------,45,100% Female,Human-Like,Human-Like,171,70,Medium Fast,
273,JEEPERS,15,14,80,55,55,150,155,90,SNOW CLOAK,-------,45,100% Female,Human-Like,Human-Like,200,70,Medium Fast,
274,ELECTABUZZ,13,13,50,73,47,85,65,95,STATIC,THICK FAT,45,75% Male,Human-Like,Human-Like,156,70,Medium Fast,
275,ELECTIVIRE,13,13,75,114,57,114,85,95,STATIC,THICK FAT,45,75% Male,Human-Like,Human-Like,182,70,Medium Fast,
276,ELECTIVINE,13,12,92,126,70,126,95,81,STATIC,THICK FAT,45,75% Male,Human-Like,Human-Like,201,70,Medium Fast,
277,ELECTIWIZZ,13,12,105,138,85,138,116,55,STATIC,THICK FAT,45,75% Male,Human-Like,Human-Like,220,70,Medium Fast,
278,MAGMAR,10,10,55,70,57,85,70,78,FLAME BODY,-------,45,75% Male,Human-Like,Human-Like,167,70,Medium Fast,
279,MAGMORTAR,10,10,75,95,67,125,95,83,FLAME BODY,-------,45,75% Male,Human-Like,Human-Like,196,70,Medium Fast,
280,MAGMORE,10,10,90,100,90,130,100,80,FLAME BODY,-------,45,75% Male,Human-Like,Human-Like,207,70,Medium Fast,
281,MAGMOLTEN,10,17,100,111,90,145,111,80,FLAME BODY,-------,45,75% Male,Human-Like,Human-Like,225,70,Medium Fast,
282,PINSIR,6,6,55,115,90,55,45,65,HYPER CUTTER,-------,45,50% Male & 50% Female,Bug,Bug,200,70,Medium Slow,
283,PINSIRIOR,6,17,65,140,100,70,55,70,HYPER CUTTER,-------,45,50% Male & 50% Female,Bug,Bug,210,70,Medium Slow,
284,ABYSSIR,6,17,80,160,110,80,60,75,INTIMIDATE,-------,45,50% Male & 50% Female,Bug,Bug,221,70,Medium Slow,
285,TAUROS,0,0,65,90,85,40,70,100,INTIMIDATE,-------,45,100% Male,Field,Field,211,70,Medium Slow,
286,TAUROX,0,0,65,110,95,40,70,120,INTIMIDATE,-------,45,100% Male,Field,Field,220,70,Medium Slow,
287,OXENFREE,0,7,60,135,100,80,80,145,INTIMIDATE,-------,45,100% Male,Field,Field,226,70,Medium Slow,
288,MAGIKARP,11,11,20,10,55,15,20,80,SWIFT SWIM,TORRENT,255,50% Male & 50% Female,Water2,Dragon,20,70,Medium Slow,
289,GYARADOS,11,2,65,95,49,40,70,51,INTIMIDATE,TORRENT,45,50% Male & 50% Female,Water2,Dragon,160,70,Medium Slow,
290,HYDRADOS,11,2,75,110,55,90,85,60,INTIMIDATE,AIR LOCK,45,50% Male & 50% Female,Water2,Dragon,199,70,Medium Slow,
291,DRACOSMIC,11,2,85,130,60,120,105,75,INTIMIDATE,AIR LOCK,45,50% Male & 50% Female,Water2,Dragon,220,70,Medium Slow,
292,QUAZAR,11,16,100,160,70,160,100,110,INTIMIDATE,AIR LOCK,45,50% Male & 50% Female,Water2,Dragon,240,70,Medium Slow,
293,LAPRAS,11,15,110,65,60,85,95,50,WATER ABSORB,SHELL ARMOR,45,50% Male & 50% Female,Monster,Water1,150,70,Medium Slow,
294,LOCHLASS,11,15,120,65,70,95,105,60,WATER ABSORB,SHELL ARMOR,45,50% Male & 50% Female,Monster,Water1,195,70,Medium Slow,
295,NESSEA,11,15,140,75,90,110,135,65,WATER ABSORB,SHELL ARMOR,45,50% Male & 50% Female,Monster,Water1,212,70,Medium Slow,
296,DITTO,0,0,48,48,48,48,48,48,LIMBER,-------,35,Genderless,Ditto,Ditto,61,70,Medium Fast,
297,MORPHO,0,0,60,55,55,55,55,55,LIMBER,-------,35,Genderless,Ditto,Ditto,120,70,Medium Fast,
298,METAMORPHO,0,0,85,60,60,60,60,55,IMPOSTER,-------,35,Genderless,Ditto,Ditto,188,70,Medium Fast,
299,EEVEE,0,0,55,55,50,45,65,55,RUN AWAY,-------,45,87% Male,Field,Field,92,70,Medium Fast,
300,VAPOREON,11,11,110,65,55,100,85,65,WATER ABSORB,-------,45,87% Male,Field,Field,196,70,Medium Fast,
301,RIVEON,11,11,120,70,70,105,90,70,WATER ABSORB,-------,45,87% Male,Field,Field,210,70,Medium Fast,
302,BRINEON,11,11,135,80,75,120,115,80,WATER ABSORB,-------,45,87% Male,Field,Field,225,70,Medium Fast,
303,JOLTEON,13,13,60,65,55,100,85,110,VOLT ABSORB,-------,45,87% Male,Field,Field,197,70,Medium Fast,
304,PLASMEON,13,13,70,70,70,105,90,120,VOLT ABSORB,-------,45,87% Male,Field,Field,211,70,Medium Fast,
305,GALVEON,13,13,80,80,75,120,115,135,VOLT ABSORB,-------,45,87% Male,Field,Field,226,70,Medium Fast,
306,FLAREON,10,10,100,65,85,110,55,65,FLASH FIRE,-------,45,87% Male,Field,Field,198,70,Medium Fast,
307,SMOLDEON,10,10,105,70,90,120,70,70,FLASH FIRE,-------,45,87% Male,Field,Field,212,70,Medium Fast,
308,INFERNEON,10,10,120,80,115,135,75,80,FLASH FIRE,-------,45,87% Male,Field,Field,227,70,Medium Fast,
309,PORYGON,0,0,65,50,60,85,65,40,TRACE,-------,45,Genderless,Mineral,Mineral,130,70,Medium Fast,
310,PORYGON2,0,0,80,70,85,95,85,60,TRACE,-------,45,Genderless,Mineral,Mineral,180,70,Medium Fast,
311,PORYGON-Z,0,0,85,90,90,105,95,60,TRACE,-------,45,Genderless,Mineral,Mineral,200,70,Medium Fast,
312,PORYGON-X,0,0,85,100,100,120,95,70,TRACE,-------,45,Genderless,Mineral,Mineral,210,70,Medium Fast,
313,PORYGON-Q,0,0,90,115,110,125,100,65,SWIFT SWIM,-------,45,Genderless,Mineral,Mineral,220,70,Medium Fast,
314,PORYGON2A4,0,0,90,130,110,130,100,65,BATTLE ARMOR,-------,45,Genderless,Mineral,Mineral,230,70,Medium Fast,
315,OMANYTE,5,11,35,40,100,90,55,35,SWIFT SWIM,SHELL ARMOR,45,87% Male,Water1,Water3,120,70,Medium Fast,
316,OMASTAR,5,11,70,60,125,115,70,55,SWIFT SWIM,SHELL ARMOR,45,87% Male,Water1,Water3,199,70,Medium Fast,
317,OMAPAL,5,11,80,65,130,120,90,60,SWIFT SWIM,SHELL ARMOR,45,87% Male,Water1,Water3,214,70,Medium Fast,
318,OMAGUS,5,11,80,70,130,140,110,75,MAGIC BOUNCE,SHELL ARMOR,45,87% Male,Water1,Water3,226,70,Medium Fast,
319,KABUTO,5,11,30,80,90,55,45,55,SWIFT SWIM,BATTLE ARMOR,45,87% Male,Water1,Water3,119,70,Medium Fast,
320,KABUTOPS,5,11,60,115,105,65,70,80,SWIFT SWIM,BATTLE ARMOR,45,87% Male,Water1,Water3,201,70,Medium Fast,
321,KABUTAK,5,11,70,125,110,65,85,90,SWIFT SWIM,BATTLE ARMOR,45,87% Male,Water1,Water3,216,70,Medium Fast,
322,KABUSTION,5,11,85,140,120,70,90,100,BATTLE ARMOR,-------,45,87% Male,Water1,Water3,228,70,Medium Fast,
323,AERODACTYL,5,2,85,95,55,40,70,115,ROCK HEAD,PRESSURE,45,87% Male,Flying,Flying,202,70,Medium Slow,
324,MANDILUFT,5,2,95,110,65,40,70,130,ROCK HEAD,PRESSURE,45,87% Male,Flying,Flying,215,70,Medium Slow,
325,AMBALITHIC,5,2,110,155,100,40,100,100,ROCK HEAD,PRESSURE,45,87% Male,Flying,Flying,227,70,Medium Slow,
326,SNORLAX,0,0,120,90,60,65,90,30,IMMUNITY,THICK FAT,25,87% Male,Monster,Monster,154,70,Medium Slow,
327,ACTLAX,0,0,135,105,90,65,95,35,IMMUNITY,THICK FAT,25,87% Male,Monster,Monster,190,70,Medium Slow,
328,GRIZZLAX,0,0,170,125,110,65,115,40,VITAL SPIRIT,THICK FAT,25,87% Male,Monster,Monster,213,70,Medium Slow,
329,ARTICUNO,15,2,80,75,95,85,125,65,PRESSURE,-------,3,Genderless,Undiscovered,Undiscovered,200,35,Medium Slow,
330,SNOWONE,15,2,85,80,105,95,140,70,PRESSURE,-------,3,Genderless,Undiscovered,Undiscovered,225,35,Medium Slow,
331,FROSTUNUS,15,2,110,80,120,115,165,85,WATER ABSORB,-------,3,Genderless,Undiscovered,Undiscovered,250,35,Medium Slow,
332,ZAPDOS,13,2,70,80,70,125,80,100,PRESSURE,-------,3,Genderless,Undiscovered,Undiscovered,200,35,Medium Slow,
333,SHOCKATOO,13,2,75,85,70,140,90,115,PRESSURE,-------,3,Genderless,Undiscovered,Undiscovered,225,35,Medium Slow,
334,VOLTDUO,13,2,110,85,80,165,110,125,VOLT ABSORB,-------,3,Genderless,Undiscovered,Undiscovered,250,35,Medium Slow,
335,MOLTRES,10,2,70,80,80,130,70,95,PRESSURE,-------,3,Genderless,Undiscovered,Undiscovered,200,35,Medium Slow,
336,IGNITHREE,10,2,75,85,90,145,70,110,PRESSURE,-------,3,Genderless,Undiscovered,Undiscovered,225,35,Medium Slow,
337,INFERNTRI,10,2,110,85,110,170,80,120,FLASH FIRE,-------,3,Genderless,Undiscovered,Undiscovered,250,35,Medium Slow,
338,DRATINI,16,16,41,64,45,50,50,50,SHED SKIN,-------,45,50% Male & 50% Female,Water1,Dragon,67,35,Medium Slow,
339,DRAGONAIR,16,16,61,74,65,70,70,70,SHED SKIN,-------,45,50% Male & 50% Female,Water1,Dragon,144,35,Medium Slow,
340,DRAGONITE,16,2,91,114,85,100,90,70,INNER FOCUS,-------,45,50% Male & 50% Female,Water1,Dragon,218,35,Medium Slow,
341,DRAGONIER,16,2,91,124,95,110,100,80,INNER FOCUS,-------,45,50% Male & 50% Female,Water1,Dragon,229,35,Medium Slow,
342,DRAGONACE,16,2,92,138,95,135,105,85,INNER FOCUS,-------,45,50% Male & 50% Female,Water1,Dragon,240,35,Medium Slow,
343,DRAGONTALE,16,2,80,143,76,140,91,155,INNER FOCUS,-------,45,50% Male & 50% Female,Water1,Dragon,255,35,Medium Slow,
344,MEWTWO,14,14,96,100,90,124,90,100,PRESSURE,-------,3,Genderless,Undiscovered,Undiscovered,220,0,Medium Slow,
345,MEWTHREE,14,14,96,115,90,154,90,105,PRESSURE,-------,3,Genderless,Undiscovered,Undiscovered,235,0,Medium Slow,
346,MEWFOUR,14,14,101,120,95,174,95,115,SHADOW TAG,-------,3,Genderless,Undiscovered,Undiscovered,255,0,Medium Slow,
347,MEW,14,14,100,100,100,100,100,100,SYNCHRONIZE,-------,45,Genderless,Undiscovered,Undiscovered,64,100,Medium Fast,
348,NYU,14,14,100,110,110,115,115,100,SYNCHRONIZE,-------,45,Genderless,Undiscovered,Undiscovered,150,100,Medium Fast,
349,IOTA,14,14,105,120,120,125,125,105,SYNCHRONIZE,-------,45,Genderless,Undiscovered,Undiscovered,200,100,Medium Fast,
350,MISSINGNO,9,0,105,100,105,135,105,95,MAGIC BOUNCE,-------,90,Genderless,Undiscovered,Undiscovered,204,100,Medium Fast,
351,MISSINGNO,9,7,90,100,80,135,120,120,SHADOW TAG,-------,90,Genderless,Undiscovered,Undiscovered,121,100,Medium Fast,
352,MISSINGNO,9,2,75,100,80,135,85,140,PRESSURE,-------,90,Genderless,Undiscovered,Undiscovered,185,100,Medium Fast,
353,MISSINGNO,9,5,100,100,125,135,115,70,BATTLE ARMOR,-------,90,Genderless,Undiscovered,Undiscovered,204,100,Medium Fast,
354,MISSINGNO,9,8,130,80,150,80,150,55,MAGIC BOUNCE,-------,90,Genderless,Undiscovered,Undiscovered,215,100,Medium Fast,
355,CHIKORITA,12,12,45,0,65,49,65,45,OVERGROW,-------,45,87% Male,Monster,Grass,64,70,Medium Slow,
356,BAYLEEF,12,12,60,0,80,63,80,60,OVERGROW,-------,45,87% Male,Monster,Grass,141,70,Medium Slow,
357,MEGANIUM,12,12,80,0,100,83,100,80,OVERGROW,-------,45,87% Male,Monster,Grass,208,70,Medium Slow,
358,CYNDAQUIL,10,10,39,0,43,60,50,65,BLAZE,-------,45,87% Male,Field,Field,65,70,Medium Slow,
359,QUILAVA,10,10,58,0,58,80,65,80,BLAZE,-------,45,87% Male,Field,Field,142,70,Medium Slow,
360,TYPHLOSION,10,10,78,0,78,109,85,100,BLAZE,-------,45,87% Male,Field,Field,209,70,Medium Slow,
361,TOTODILE,11,11,50,0,64,44,48,43,TORRENT,-------,45,87% Male,Monster,Water1,66,70,Medium Slow,
362,CROCONAW,11,11,65,0,80,59,63,58,TORRENT,-------,45,87% Male,Monster,Water1,143,70,Medium Slow,
363,FERALIGATR,11,11,85,0,100,79,83,78,TORRENT,-------,45,87% Male,Monster,Water1,210,70,Medium Slow,
364,SENTRET,0,0,35,0,34,35,45,20,RUN AWAY,KEEN EYE,255,50% Male & 50% Female,Field,Field,57,70,Medium Fast,
365,FURRET,0,0,85,0,64,45,55,90,RUN AWAY,KEEN EYE,90,50% Male & 50% Female,Field,Field,116,70,Medium Fast,
366,HOOTHOOT,0,2,60,0,30,36,56,50,INSOMNIA,KEEN EYE,255,50% Male & 50% Female,Flying,Flying,58,70,Medium Fast,
367,NOCTOWL,0,2,100,0,50,76,96,70,INSOMNIA,KEEN EYE,90,50% Male & 50% Female,Flying,Flying,162,70,Medium Fast,
368,LEDYBA,6,2,40,0,30,40,80,55,SWARM,EARLY BIRD,255,50% Male & 50% Female,Bug,Bug,54,70,Fast,
369,LEDIAN,6,2,55,0,50,55,110,85,SWARM,EARLY BIRD,90,50% Male & 50% Female,Bug,Bug,134,70,Fast,
370,SPINARAK,6,3,40,0,40,40,40,30,SWARM,INSOMNIA,255,50% Male & 50% Female,Bug,Bug,54,70,Fast,
371,ARIADOS,6,3,70,0,70,60,60,40,SWARM,INSOMNIA,90,50% Male & 50% Female,Bug,Bug,134,70,Fast,
372,CHINCHOU,11,13,75,0,38,56,56,67,VOLT ABSORB,ILLUMINATE,190,50% Male & 50% Female,Water2,Water2,90,70,Slow,
373,LANTURN,11,13,125,0,58,76,76,67,VOLT ABSORB,ILLUMINATE,75,50% Male & 50% Female,Water2,Water2,156,70,Slow,
374,PICHU,13,13,20,0,15,35,35,60,STATIC,-------,190,50% Male & 50% Female,Undiscovered,Undiscovered,42,70,Medium Fast,
375,CLEFFA,0,0,50,0,28,45,55,15,CUTE CHARM,-------,150,75% Female,Undiscovered,Undiscovered,37,140,Fast,
376,IGGLYBUFF,0,0,90,0,15,40,20,15,CUTE CHARM,-------,170,75% Female,Undiscovered,Undiscovered,39,70,Fast,
377,TOGEPI,0,0,35,0,65,40,65,20,HUSTLE,SERENE GRACE,190,87% Male,Undiscovered,Undiscovered,74,70,Fast,
378,TOGETIC,0,2,55,0,85,80,105,40,HUSTLE,SERENE GRACE,75,87% Male,Flying,Fairy,114,70,Fast,
379,NATU,14,2,40,0,45,70,45,70,SYNCHRONIZE,EARLY BIRD,190,50% Male & 50% Female,Flying,Flying,73,70,Medium Fast,
380,XATU,14,2,65,0,70,95,70,95,SYNCHRONIZE,EARLY BIRD,75,50% Male & 50% Female,Flying,Flying,171,70,Medium Fast,
381,MAREEP,13,13,55,0,40,65,45,35,STATIC,-------,235,50% Male & 50% Female,Monster,Field,59,70,Medium Slow,
382,FLAAFFY,13,13,70,0,55,80,60,45,STATIC,-------,120,50% Male & 50% Female,Monster,Field,117,70,Medium Slow,
383,AMPHAROS,13,13,90,0,75,115,90,55,STATIC,-------,45,50% Male & 50% Female,Monster,Field,194,70,Medium Slow,
384,BELLOSSOM,12,12,75,0,85,90,100,50,CHLOROPHYLL,-------,45,50% Male & 50% Female,Grass,Grass,184,70,Medium Slow,
385,MARILL,11,11,70,0,50,20,50,40,THICK FAT,HUGE POWER,190,50% Male & 50% Female,Water1,Fairy,58,70,Fast,
386,AZUMARILL,11,11,100,0,80,50,80,50,THICK FAT,HUGE POWER,75,50% Male & 50% Female,Water1,Fairy,153,70,Fast,
387,SUDOWOODO,5,5,70,0,115,30,65,30,STURDY,ROCK HEAD,65,50% Male & 50% Female,Mineral,Mineral,135,70,Medium Fast,
388,POLITOED,11,11,90,0,75,90,100,70,WATER ABSORB,DAMP,45,50% Male & 50% Female,Water1,Water1,185,70,Medium Slow,
389,HOPPIP,12,2,35,0,40,35,55,50,CHLOROPHYLL,-------,255,50% Male & 50% Female,Fairy,Grass,74,70,Medium Slow,
390,SKIPLOOM,12,2,55,0,50,45,65,80,CHLOROPHYLL,-------,120,50% Male & 50% Female,Fairy,Grass,136,70,Medium Slow,
391,JUMPLUFF,12,2,75,0,70,55,85,110,CHLOROPHYLL,-------,45,50% Male & 50% Female,Fairy,Grass,176,70,Medium Slow,
392,AIPOM,0,0,55,0,55,40,55,85,RUN AWAY,PICKUP,45,50% Male & 50% Female,Field,Field,94,70,Fast,
393,SUNKERN,12,12,30,0,30,30,30,30,CHLOROPHYLL,-------,235,50% Male & 50% Female,Grass,Grass,52,70,Medium Slow,
